Episodes,Q-learning,Sarsa
1,1,1
2,1,1
3,2,1
4,2,2
5,2,2
6,2,2
7,1,1
8,1,2
9,1,1
10,2,1
11,4,2
12,3,2
13,10,5
14,1,3
15,6,3
16,1,3
17,2,1
18,2,2
19,5,10
20,4,2
21,2,10
22,6,4
23,8,3
24,3,4
25,3,3
26,6,8
27,3,3
28,3,14
29,5,1
30,2,3
31,9,2
32,3,12
33,7,5
34,4,7
35,1,7
36,10,1
37,9,5
38,2,6
39,5,24
40,12,9
41,4,21
42,1,12
43,7,3
44,14,4
45,7,5
46,10,13
47,8,14
48,1,12
49,10,3
50,14,8
51,3,2
52,16,8
53,1,3
54,14,14
55,2,4
56,20,6
57,3,10
58,18,2
59,7,16
60,3,8
61,5,3
62,1,8
63,16,8
64,5,6
65,10,16
66,18,29
67,10,1
68,2,3
69,16,10
70,8,12
71,14,7
72,4,8
73,8,8
74,8,8
75,12,8
76,8,6
77,8,8
78,5,6
79,6,8
80,8,8
81,8,8
82,1,8
83,8,
84,5,
85,4,
86,10,
87,8,
88,1,
89,8,
90,8,
91,8,
92,8,
93,8,
94,8,
95,3,
96,1,
97,8,
98,8,
99,8,
100,8,
101,5,
102,8,
103,1,
104,8,
105,8,
106,8,
107,8,
108,8,
109,8,
110,8,
111,12,
112,8,
113,10,
114,8,
115,8,
